rank,purchaser_name_raw,total_amount_inr,total_amount_cr,bond_count,pct_of_corporate_value,cumulative_pct_of_corporate,classification_rule_hit,source_file,source_sha256
28,MEGHA ENGINEERING AND INFRASTRUCTURES LTD,700000000,70.0000,70,0.6110,53.0934,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
29,FUTURE GAMING AND HOTEL SERVICES PVT LTD,650000000,65.0000,65,0.5674,53.6607,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
30,MKJ ENTERPRISES LTD,640700000,64.0700,89,0.5592,54.2200,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
31,RASHMI CEMENT LTD,635000000,63.5000,68,0.5543,54.7743,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
32,SRI SIDDHARTH INFRATECH AND SERVICES I P,601000000,60.1000,61,0.5246,55.2989,word:INFRATECH,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
33,NCC LIMITED,600000000,60.0000,60,0.5237,55.8226,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
34,INFINA FINANCE PRIVATE LIMITED,600000000,60.0000,60,0.5237,56.3463,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
35,NATCO PHARMA LTD,572500000,57.2500,64,0.4997,56.8460,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
36,DIVI S LABORATORIES LIMITED,550000000,55.0000,55,0.4801,57.3261,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
37,THE RAMCO CEMENTS LIMITED,540000000,54.0000,54,0.4714,57.7975,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
38,UNITED PHOSPHORUS INDIA LLP,500000000,50.0000,50,0.4364,58.2339,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
39,AUROBINDO PHARMA LIMITED,490000000,49.0000,58,0.4277,58.6616,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
40,NAVAYUGA  ENGINEERING COMPANY LIMITED,450000000,45.0000,45,0.3928,59.0544,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
41,PCBL LIMITED,450000000,45.0000,45,0.3928,59.4472,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
42,RITHWIK PROJECTS  PRIVATE LIMITED,450000000,45.0000,45,0.3928,59.8400,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
43,SASMAL INFRASTRUCTURE PRIVATE LIMITED,440000000,44.0000,44,0.3841,60.2240,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
44,TORRENT PHARMACEUTICALS LTD,425000000,42.5000,47,0.3710,60.5950,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
45,TRANSWAYS EXIM PRIVATE LIMITED,415000000,41.5000,226,0.3622,60.9573,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
46,PHL FINIVEST PVT LTD,400000000,40.0000,40,0.3491,61.3064,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
47,MODERN ROAD MAKERS PVT. LTD.,400000000,40.0000,40,0.3491,61.6556,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
48,LAXMI CIVIL ENGINEERING SERVICES PR,400000000,40.0000,40,0.3491,62.0047,word:SERVICES,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
49,SEPC POWER PVT LTD OPERATION RETEN,400000000,40.0000,40,0.3491,62.3539,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
50,SHIRDI SAI ELECTRICALS LTD,400000000,40.0000,40,0.3491,62.7030,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
51,BHARTI TELEMEDIA LIMITED,370000000,37.0000,37,0.3230,63.0260,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
52,TORRENT PHARMACEUTICALS LIMITED,350000000,35.0000,44,0.3055,63.3315,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
53,SWAL CORPORATION LIMITED,350000000,35.0000,35,0.3055,63.6370,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
54,NEXG DEVICES PVT LTD,350000000,35.0000,35,0.3055,63.9425,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
55,SAFAL GOYAL REALTY LLP,350000000,35.0000,35,0.3055,64.2480,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
56,CRESCENT POWER LTD,340000000,34.0000,52,0.2968,64.5448,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
57,GRASIM INDUSTRIES LTD,330000000,33.0000,33,0.2880,64.8328,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
58,CIPLA LIMITED,322000000,32.2000,34,0.2811,65.1139,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
