purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
WELSPUN CORP LTD,BHARATIYA JANATA PARTY,90000000,9.0000,9
VACMETINDIALIMITED,BHARATIYA JANATA PARTY,90000000,9.0000,9
RIPLEY & CO STEVDORING & HANDLING PVT LT D,ALL INDIA TRINAMOOL CONGRESS,85000000,8.5000,31
ABHINANDANSTOCKBROKINGPVTLTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",85000000,8.5000,22
SRI KUMARASWAMY MINERAL EXPORTS PR,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",83300000,8.3300,14
ORRISA METALIKS PVT LTD,BIJU JANATA DAL,80000000,8.0000,8
FUTURE GAMING AND HOTEL SERVICES PR,SIKKIM KRANTIKARI MORCHA,80000000,8.0000,8
BAJAJ AUTO LTD,AAM AADMI PARTY,80000000,8.0000,8
GREENKO ENERGY PROJECTS PRIVATE LTD,BHARATIYA JANATA PARTY,80000000,8.0000,8
AQ SQUARE REALTORS PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,80000000,8.0000,8
ZYDUS HEALTHCARE LIMITED,SIKKIM KRANTIKARI MORCHA,80000000,8.0000,8
COMFORT TRIMS PRIVATE LIMITED DIVIS,BHARATIYA JANATA PARTY,80000000,8.0000,8
WESTWELL GASES PRIVATE LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),80000000,8.0000,8
PROCURE ADVISORY SERVICES PRIVATE LTD,BIJU JANATA DAL,80000000,8.0000,8
UNIPRO TECHNO INFRASTRUCTURE PVT LTD,BHARATIYA JANATA PARTY,80000000,8.0000,8
BHARTI INFRATEL LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",80000000,8.0000,8
THE PUNJAB BUSINESS SUPPLY COMPANY,BIJU JANATA DAL,78000000,7.8000,15
SENGUPTA AND SENGUPTA PRIVATE LIMIT,ALL INDIA TRINAMOOL CONGRESS,77000000,7.7000,14
GOODLUCK  INDIA LIMITED,BHARATIYA JANATA PARTY,75000000,7.5000,12
SCAFFOLD PROPERTIES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",70000000,7.0000,7
TRANSWAYS EXIM PRIVATE LIMITED,AAM AADMI PARTY,70000000,7.0000,16
NUVOCO VISTAS CORPORATION LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",70000000,7.0000,7
WPIL LIMITED,ALL INDIA TRINAMOOL CONGRESS,70000000,7.0000,7
MOHIT MINERALS LIMITED,BHARATIYA JANATA PARTY,70000000,7.0000,7
MKJ ENTERPRISES LIMITED,AAM AADMI PARTY,70000000,7.0000,7
KAMNA CREDITS AND PROMOTORS PVT LTD,BHARAT RASHTRA SAMITHI,70000000,7.0000,7
RANJIT BUILDCON LIMITED,BHARATIYA JANATA PARTY,70000000,7.0000,7
TORRENT PHARMACEUTICALS LTD,SIKKIM KRANTIKARI MORCHA,70000000,7.0000,7
CAPACITE INFRAPROJECTS LTD,BHARATIYA JANATA PARTY,70000000,7.0000,7
ASKUS LOGISTICS PVT LTD,DRAVIDA MUNNETRA KAZHAGAM (DMK),70000000,7.0000,7
MICRO LABS LIMITED,SIKKIM KRANTIKARI MORCHA,70000000,7.0000,7
CIPLA LTD,BHARATIYA JANATA PARTY,70000000,7.0000,7
TIVOLI PARK APARTMENTS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,70000000,7.0000,7
CASTLE LIQUORS PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,68000000,6.8000,68
MONALISA BOTTLING INDUSTRIES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,66500000,6.6500,53
FORCE MOTORS LTD,BHARATIYA JANATA PARTY,63500000,6.3500,23
IFB AGRO INDUSTRIES LIMITED,BIJU JANATA DAL,63000000,6.3000,9
NANDI ENTERPRISES,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",61800000,6.1800,24
GANDHAR COALS AND MINES PVT LTD,BHARATIYA JANATA PARTY,60000000,6.0000,6
KAMNA CREDITS AND PROMOTORS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,60000000,6.0000,24
ARVIND LIMITED,BHARATIYA JANATA PARTY,60000000,6.0000,6
BALU IRON AND STEEL COMPANY,BIJU JANATA DAL,60000000,6.0000,6
IDEAL ROAD BUILDERS  PVT.LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",60000000,6.0000,6
MSN PHARMACHEM PVT LTD,BHARATIYA JANATA PARTY,60000000,6.0000,6
GK ENERGY MARKETERS PRIVATE LIMITED,BHARATIYA JANATA PARTY,60000000,6.0000,6
INDERDEEP CONSTRUCTION CO,BHARATIYA JANATA PARTY,60000000,6.0000,6
MICRO LABS LTD,BHARATIYA JANATA PARTY,60000000,6.0000,6
MODERN ROAD MAKERS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",60000000,6.0000,6
CEAT LTD,BHARATIYA JANATA PARTY,60000000,6.0000,6
EVEY TRANS PVT LTD,BHARAT RASHTRA SAMITHI,60000000,6.0000,6
PATEL ENGINEERING LTD.,BHARATIYA JANATA PARTY,60000000,6.0000,60
TANUSHREE LOGISTICS PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",56000000,5.6000,20
CAMELIA GRIHA NIRMAN PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",55000000,5.5000,10
YOGA BUILDERS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",55000000,5.5000,10
HERALD BEVERAGES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,55000000,5.5000,10
CYGNUS POWER INFRA SERVICES PRIVATE,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",55000000,5.5000,10
OM METALS DEVELOPERS (P) LTD.,ALL INDIA TRINAMOOL CONGRESS,55000000,5.5000,10
STOCKPATHADVISORSLLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",52000000,5.2000,16
WESTWELL GASES PRIVATE LIMITED,RASHTRIYA JANTA DAL,51000000,5.1000,6
KAMNA CREDITS AND PROMOTORS PVT LTD,BIJU JANATA DAL,50000000,5.0000,5
SHANKARANARAYANA CONSTRUCTIONS PVT,BHARATIYA JANATA PARTY,50000000,5.0000,5
SKP MERCHANTS LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
FERTILELAND FOODS PRIVATE LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),50000000,5.0000,5
EVERSHINE INTERIORS CHENNAI PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),50000000,5.0000,5
FUTURISTIC HANDLING SERVICES PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),50000000,5.0000,5
MKK METAL SECTIONS P LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
THE RAMCO CEMENTS LIMITED,TELUGU DESAM PARTY,50000000,5.0000,5
PRESTIGE GARDEN ESTATES PRIVATE LIM,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
BLUEBERRY TRADING COMPANY PRIVATE L,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
IFB AGRO INDUSTRIES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
MNMEDIAVENTURESPVTL108,BHARATIYA JANATA PARTY,50000000,5.0000,5
AXIS CLINICALS LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
TRIDENTCHEMPHARLIMITED,TELUGU DESAM PARTY,50000000,5.0000,5
SOMASILA SOLAR POWER LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
ARIZONAGLOBALSERVICESPVTLTDBR,BHARATIYA JANATA PARTY,50000000,5.0000,5
DCM SHRIRAM LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
PCBL LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
RITHWIK PROJECTS  PRIVATE LIMITED,TELUGU DESAM PARTY,50000000,5.0000,5
NSL RENEWABLE POWER PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
GREENKO MP01 IREP PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
KCR ENTERPRISE LLP,JANATA DAL ( SECULAR ),50000000,5.0000,5
ILABS HYD TECHNOLOGY CENTRE PVT LTD,JANATA DAL ( SECULAR ),50000000,5.0000,5
HONOUR LAB LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
SWAMI FUELS PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
SARDA ENERGY AND MINERALS LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
AUGMONT ENTERPRISES PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
MOHIT MINERALS  LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
MB POWER (MADHYA PRADESH) LTD,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
VEDANTA LIMITED,JHARKHAND MUKTI MORCHA,50000000,5.0000,5
INTERGLOBE AVIATION LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
DCM SHRIRAM LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,JANATA DAL ( SECULAR ),50000000,5.0000,5
SKEIRON RENEWABLE ENERGY AMIDYALA PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),50000000,5.0000,5
N A R INFRA PRIVATE LIMITED,TELUGU DESAM PARTY,50000000,5.0000,5
GREENKO ANANTAPUR WIND POWER PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),50000000,5.0000,5
NSL SEZ HYDERABAD PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
D S ENGINEERING WORKS LLP,BIJU JANATA DAL,50000000,5.0000,5
MAATHA PROJECTS LLP,TELUGU DESAM PARTY,50000000,5.0000,5
GAJA ENGINEERING PVT LTD,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
HINDYS LAB PVT. LTD. (PREVIOUSLY HIND LI FE SCIENCES PVT LTD),BHARAT RASHTRA SAMITHI,50000000,5.0000,5
BIOLOGICAL E LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
VASAVI  AVENUES LLP,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
MODERN ROAD MAKERS PVT LTD,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
VIVA HIGHWAYS  LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
ASHOKA  MUDHOL NIPANI ROADS LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
HH IRON AND STEEL PRIVATE LIMITED,BIJU JANATA DAL,50000000,5.0000,5
FUTURE GAMING AND HOTEL SERVICES PR,SIKKIM DEMOCRATIC FRONT,50000000,5.0000,5
MKK METAL SECTIONS P LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
PRARAMBH SECURITIES PVT LTDPROPRIET,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
SASMAL INFRASTRUCTURE PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
ASISH FINANCE PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,50000000,5.0000,23
GVPR ENGINEERS LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
BAIN GLOBAL RESOURCES LLP,BHARATIYA JANATA PARTY,50000000,5.0000,5
DIVI S LABORATORIES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
AKSHAT GREENTECH PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
HETERO BIOPHARMA LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
DASAMI LAB PRIVATE LIMITED (FORMERLY HEL IUS LAB PVT LTD),"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
HETERO LABS LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
SELMAR LAB  PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
THRIVENI EARTHMOVERS PVT LTD,BIJU JANATA DAL,50000000,5.0000,5
MY HOME INFRASTRUCTURES PVT LTD MY,BHARATIYA JANATA PARTY,50000000,5.0000,5
SEPC POWER PVT LTD OPERATION RETEN,TELUGU DESAM PARTY,50000000,5.0000,5
SEPC POWER PVT LTD OPERATION RETEN,BHARATIYA JANATA PARTY,50000000,5.0000,5
CHIRON BEHRING VACCINES PVT LTD,TELUGU DESAM PARTY,50000000,5.0000,5
NATCO PHARMA LTD,JANASENA PARTY,50000000,5.0000,5
GVPR ENGINEERS LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
WELSPUN LIVING LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
INORBIT MALLS  INDIA  PRIVATE LIMIT,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
VEDIKA VANIJYA PVT LTD-SELF A/C,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
ASIAN TRADING CORPORATION LIMITED,AAM AADMI PARTY,50000000,5.0000,5
TORRENT PHARMACEUTICALS LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
TORRENT  POWER  LIMITED,AAM AADMI PARTY,50000000,5.0000,5
GENUS POWER,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
ROSHNI DEALMARK PRIVATE LTD,BIJU JANATA DAL,50000000,5.0000,5
FASTWAY TRANSMISSIONS PVT LTD,SHIROMANI AKALI DAL,50000000,5.0000,5
TRIDENT LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
GENUS POWER INFRASTRUCTURES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
BIOVET PVT LTD,TELUGU DESAM PARTY,50000000,5.0000,5
RCC NUTRA FILL PRIVATE LIMITED,TELUGU DESAM PARTY,50000000,5.0000,5
PRESTIGE PROJECTS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
PRESTIGE PROJECTS PVT LTD,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
PRESTIGE GARDEN ESTATES PRIVATE LIM,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
VIJAYKUMARMISHRACONSTRUCTIONPVT,BHARATIYA JANATA PARTY,50000000,5.0000,5
PRESTIGE ESTATES PROJECTS LTD PREST,BHARATIYA JANATA PARTY,50000000,5.0000,5
PHILIPS CARBON BLACK LTD,ALL INDIA TRINAMOOL CONGRESS,50000000,5.0000,14
RADICO KHAITAN LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
MYTRAH ENERGY(INDIA) PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
RENUKESHWAR INVESTMENTS PVT LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
RENUKA INVESTMENTS AND FINANCE LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
PRL DEVELOPERS PRIVATE LIMITED,SHIVSENA,50000000,5.0000,5
PRL DEVELOPERS PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
"AISHWARYA BUSINESS CORPORATION PVT, LTD",BHARATIYA JANATA PARTY,50000000,5.0000,14
SHANKARRESOURCESPVTLTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
DERIVE TRADING AND RESORTS PRIVATE LIMIT,BHARATIYA JANATA PARTY,50000000,5.0000,5
WELSPUN CORP LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,5
FAMY ENERGY PRIVATE LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
K AMISH KUMAR TRADING PVT LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
THAKUR PRASAD SAO & SONS PVT LT,BHARATIYA JANATA PARTY,50000000,5.0000,14
ORIENTAL SOUTH DELHI HOTELS PVT LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
J K CEMENT LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
HINDUSTAN TEXTILES,BHARATIYA JANATA PARTY,50000000,5.0000,5
D S ENGINEERING WORKSHOP LLP,BHARATIYA JANATA PARTY,50000000,5.0000,14
GOODLUCK INDIA LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
LALITPUR POWER GENERATION COMPANY LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
AJAY METALLOYS PVT LTD,BHARATIYA JANATA PARTY,50000000,5.0000,5
SALASAR STOCK BROKING LTD-PROPRIETARY,ALL INDIA TRINAMOOL CONGRESS,50000000,5.0000,5
RAJAPUSHPA ASSET MANAGEMENT LLP,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,BHARATIYA JANATA PARTY,50000000,5.0000,5
BRICKS INFRATECH LLP,BHARAT RASHTRA SAMITHI,50000000,5.0000,5
J K CEMENT LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",50000000,5.0000,50
VILLAGE DE NANDI PVT LTD RERA DESIG,BHARATIYA JANATA PARTY,50000000,5.0000,50
ITC LIMITED,ALL INDIA TRINAMOOL CONGRESS,49546000,4.9546,28
BALU CEMENT CORPORATION,BHARATIYA JANATA PARTY,45000000,4.5000,9
HEENA STEEL LLP,BHARATIYA JANATA PARTY,45000000,4.5000,9
ARROW PROJECTS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,45000000,4.5000,36
ASIAN AGRI GENETICS LIMITED,BHARAT RASHTRA SAMITHI,45000000,4.5000,9
ASHOKA HUNGUND TALIKOT ROAD LTD,BHARATIYA JANATA PARTY,45000000,4.5000,9
MY HOME INFRASTRUCTURES PVT LTD MY,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",45000000,4.5000,9
LOTUS TEXPARK LIMITED FORMERLY LOTUS INT EGRATED TEXPARK LTD,BHARATIYA JANATA PARTY,45000000,4.5000,9
STAR CEMENT MEGHALAYA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",45000000,4.5000,9
BALU IRON & STEEL COMPANY,BHARATIYA JANATA PARTY,40000000,4.0000,4
IFB AGRO INDUSTRIES LIMITED,AAM AADMI PARTY,40000000,4.0000,4
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,JANASENA PARTY,40000000,4.0000,4
ACHINTYA SOLAR POWER PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,40000000,4.0000,4
HANSVAHINI AUTO INTERIOR PVT LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
BESSEGGENINFOTECHLLP,BHARAT RASHTRA SAMITHI,40000000,4.0000,13
VERTEX VEGA DEVELOPERS LLP,BHARAT RASHTRA SAMITHI,40000000,4.0000,4
EAGLE INFRA INDIA LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
HERALD BEVERAGES PRIVATE LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),40000000,4.0000,4
ABHINANDANSTOCKBROKINGPVTLTD,ALL INDIA TRINAMOOL CONGRESS,40000000,4.0000,4
ASHOKA BAGEWADI SAUNDATTI ROAD LIMITED,BHARATIYA JANATA PARTY,40000000,4.0000,4
INFRASTRUCTURE LOGISTICS PVT LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
JAI GANESH ISPAT AND FERRO ALLOYS PVT LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
ARDENT STEEL LIMITED,BIJU JANATA DAL,40000000,4.0000,4
ARVINDINFRACONLLP,BHARATIYA JANATA PARTY,40000000,4.0000,4
OMKAR VENTURES PVT LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
INOX AIR PRODUCTS LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
SHREE CEMENT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",40000000,4.0000,4
TAQUITO LEASE OPERATORS PVT. LTD,BHARATIYA JANATA PARTY,40000000,4.0000,4
KEJRIWAL MIINIING PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,40000000,4.0000,13
THE INDIA CEMENTS LTD,DRAVIDA MUNNETRA KAZHAGAM (DMK),40000000,4.0000,4
BESSEGGEN INFOTECH LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",40000000,4.0000,13
KVR BASELINE RESOURCES PRIVATE LIMI,ALL INDIA TRINAMOOL CONGRESS,40000000,4.0000,4
UM CABLES LIMITED,BHARATIYA JANATA PARTY,40000000,4.0000,40
INDIA GLYCOLS LTD,BHARATIYA JANATA PARTY,39900000,3.9900,21
TORRENT  POWER  LIMITED,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,35000000,3.5000,8
IPCA LABORATORIES LIMITED,SIKKIM KRANTIKARI MORCHA,35000000,3.5000,17
PRAGATI ENTERPRISES,BHARATIYA JANATA PARTY,35000000,3.5000,8
TSHARKS INFRA DEVELOPERS PRIVATE LI,BHARAT RASHTRA SAMITHI,35000000,3.5000,8
SOUTH ASIA FM LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),35000000,3.5000,8
KAL RADIO LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),35000000,3.5000,8
M/S. K.D. LIQUOR  FERTILIZER PRIVATE L,ALL INDIA TRINAMOOL CONGRESS,35000000,3.5000,8
VEDANTA LTD,BHARATIYA JANATA PARTY,35000000,3.5000,17
M S  VARAS INTERNATIONAL PVT LTD,ALL INDIA TRINAMOOL CONGRESS,33000000,3.3000,33
PALM SHELTER ESTATE DEVELOPMENT LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",32500000,3.2500,10
CAPSTAN TRADING LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",32500000,3.2500,10
RITESH PROJECTS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,31000000,3.1000,13
PENGUIN TRADING AND AGENCIES LTD,BIJU JANATA DAL,30000000,3.0000,3
NETINCON MARKETING PVT LTD,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
RIPLEY AND CO. STEVEDORING & HANDLING PVT LTD,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
AVEES TRADING AND FINANCE PVT LTD,BIJU JANATA DAL,30000000,3.0000,3
SPPL PROPERTY MANAGEMENT PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
LOUISIANA INVESTMENT   FINANCE PVT,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
CASA MARIA PROPERTIES LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
AJANTA PHARMA LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
BENGAL VIPANAPAN PRIVATE LIMITED,BIJU JANATA DAL,30000000,3.0000,3
RAJDHANI DEALERS PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
GREENKO RAYALA WIND POWER PVT LTD,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
GREENKO BUDHIL HYDRO POWER PVT LTD,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
TANOT WIND POWER VENTURES PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),30000000,3.0000,3
DR REDDYS LABORATORIES LIMITED,TELUGU DESAM PARTY,30000000,3.0000,3
RPSG VENTURES LIMITED,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
ARAVALI TECHNICAL SERVICES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
ZYDUS HEALTHCARE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
NIRMA LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
ARVIND  LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,SHIVSENA,30000000,3.0000,3
PIRAMAL PHARMA LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
YOGA BUILDERS PVT LTD,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
MARAL OVERSEAS LTD.,BHARATIYA JANATA PARTY,30000000,3.0000,3
RSLH AUTO SEAT TRIMS PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
GORJA STEEL PROCESSORS,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
THRIVENI SAINIK MINING PRIVATE LIMI,JHARKHAND MUKTI MORCHA,30000000,3.0000,3
JINDAL STEEL AND POWER LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
AXIS WIND FARMS (MPR DAM) PRIVATE L,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),30000000,3.0000,3
SOHINI DEVELOPERS LLP,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
VAMSIRAM BUILDERS LLP,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
GREENKO URAVAKONDA WIND POWER PRIVA,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),30000000,3.0000,3
VAMSIRAM DEVELOPERS LLP,BHARAT RASHTRA SAMITHI,30000000,3.0000,3
SIGMA ADVANCED SYSTEMS PRIVATE LIMI,JANATA DAL ( SECULAR ),30000000,3.0000,3
MYTRAH ENERGY INDIA PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
FUTURE GAMING AND HOTEL SERVICES PVT LTD,SIKKIM KRANTIKARI MORCHA,30000000,3.0000,3
SYNERGY DEALCOM PVT LTD-SELF A/C,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
NUVOCO VISTAS CORP. LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
YUVAN TRADING   CONSULTANCY LLP,SHIVSENA,30000000,3.0000,3
PRASAD AND COMPANY PRIVATE LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
NATCO PHARMA LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),30000000,3.0000,3
GRANULES INDIA LIMITED,TELUGU DESAM PARTY,30000000,3.0000,3
MVM SECURITIES PVT LTD-SELF A/C,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,21
KAYPEE ENTERPRISES,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
MICRO LABS LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
TORRENT  POWER  LIMITED,SHIVSENA,30000000,3.0000,3
TORRENT PHARMACEUTICALS LTD,ADYAKSHA SAMAJVADI PARTY,30000000,3.0000,3
KRISHNA SHEET PROCESSORS PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,12
GENUS POWER INFRASTRUCTURES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
ARVINDBEAUTYBRANDSRETAILPVTLTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
WONDER MINERALS  PVT LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
MSPL LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
