purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
NEXG DEVICES PVT LTD,BHARATIYA JANATA PARTY,350000000,35.0000,35
IFB AGRO INDUSTRIES LIMITED,RASHTRIYA JANTA DAL,350000000,35.0000,35
SAFAL GOYAL REALTY LLP,BHARATIYA JANATA PARTY,350000000,35.0000,35
CRESCENT POWER LTD,ALL INDIA TRINAMOOL CONGRESS,330000000,33.0000,42
PRARAMBH SECURITIES PVT LTDPROPRIET,BHARATIYA JANATA PARTY,330000000,33.0000,33
DR.REDDY'S LABORATORIES LTD,BHARAT RASHTRA SAMITHI,320000000,32.0000,32
TORRENT PHARMACEUTICALS LTD,BHARATIYA JANATA PARTY,320000000,32.0000,32
AUROBINDO PHARMA LIMITED,BHARATIYA JANATA PARTY,315000000,31.5000,36
LCCPROJECTSPRIVATELIMITED,BHARATIYA JANATA PARTY,315000000,31.5000,36
JINDAL STAINLESS LTD,BIJU JANATA DAL,300000000,30.0000,30
CIPLA LIMITED,BHARATIYA JANATA PARTY,300000000,30.0000,30
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,BHARATIYA JANATA PARTY,300000000,30.0000,30
RITHWIK PROJECTS  PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",300000000,30.0000,30
HETERO DRUGS LIMITED,BHARAT RASHTRA SAMITHI,300000000,30.0000,30
DIVI S LABORATORIES LIMITED,BHARATIYA JANATA PARTY,300000000,30.0000,30
SEPC POWER PVT LTD OPERATION RETEN,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",300000000,30.0000,30
HONEYWELL PROPERTIES PVT LTD,BHARATIYA JANATA PARTY,300000000,30.0000,30
TORRENT PHARMACEUTICALS LIMITED,BHARATIYA JANATA PARTY,290000000,29.0000,38
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,TELUGU DESAM PARTY,280000000,28.0000,28
PENGUIN TRADING & AGENCIES LIMITED,BIJU JANATA DAL,275000000,27.5000,32
MKJ ENTERPRISES LTD,ALL INDIA TRINAMOOL CONGRESS,274000000,27.4000,31
RASHMI METALIKS LTD,BIJU JANATA DAL,270000000,27.0000,27
JINDAL SAW LIMITED,BHARATIYA JANATA PARTY,270000000,27.0000,27
KALPATARU PROJECTS INTERNATIONAL LIMITED,BHARATIYA JANATA PARTY,255000000,25.5000,30
GENUS POWER INFRASTRUCTURES LIMITED,BHARATIYA JANATA PARTY,255000000,25.5000,30
QWIKSUPPLYCHAINPRIVATELIMITED,SHIVSENA,250000000,25.0000,25
THE RAMCO CEMENTS LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,BHARATIYA JANATA PARTY,250000000,25.0000,25
PIRAMAL ENTERPRISES LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
DHARIWAL INFRASTRUCTURE LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),250000000,25.0000,25
DLF LUXURY HOMES LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
MAHINDRA & MAHINDRA LTD,BHARATIYA JANATA PARTY,250000000,25.0000,25
IRB MP EXPRESSWAY PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,250000000,25.0000,25
PRATHMESH CONSTRUCTION,BHARATIYA JANATA PARTY,250000000,25.0000,25
THE RAMCO CEMENTS LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),240000000,24.0000,24
DR.REDDY'S LABORATORIES LTD,BHARATIYA JANATA PARTY,240000000,24.0000,24
MANKIND PHARMA LIMITED,BHARATIYA JANATA PARTY,240000000,24.0000,24
AVEES TRADING & FINANCE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,240000000,24.0000,24
GRASIM INDUSTRIES LTD,BHARATIYA JANATA PARTY,230000000,23.0000,23
MKJ ENTERPRISES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",222500000,22.2500,29
SIDDHI TRADING,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",220000000,22.0000,22
L7 HITECH PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,220000000,22.0000,22
AVEES TRADING FINANCE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,215000000,21.5000,26
VEDANTA LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",210000000,21.0000,21
KOYA AND COMPANY CONSTRUCTION LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
BKC PROPERTIES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000000,20.0000,20
HERO MOTOCORP LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
MARUTI SUZUKI INDIA LTD,BHARATIYA JANATA PARTY,200000000,20.0000,20
MAATHA PROJECTS LLP,BHARATIYA JANATA PARTY,200000000,20.0000,20
JINDAL STEEL AND POWER LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000000,20.0000,20
DIVI S LABORATORIES LIMITED,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
TELLAPUR TECHNOCITY PRIVATE LIMI,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
HONOUR LAB LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,TELUGU DESAM PARTY,200000000,20.0000,20
INTAS PHARMACEUTICALS LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
KEVENTER FOODPARK INFRA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000000,20.0000,20
KEVENTER FOODPARK INFRA LIMITED,ALL INDIA TRINAMOOL CONGRESS,200000000,20.0000,20
INTERGLOBE REAL ESTATE VENTURES PVT LTD,BHARATIYA JANATA PARTY,200000000,20.0000,20
SUN PHARMA LABORATORIES LIMTED,BHARATIYA JANATA PARTY,200000000,20.0000,20
BAJAJ FINANCE LTD,BHARATIYA JANATA PARTY,200000000,20.0000,20
LUCINA LAND DEVELOPMENT LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
PHILLIPS CARBON BLACK LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
CHANDER COMMERCIALS PVT LTD,BHARATIYA JANATA PARTY,200000000,20.0000,20
RAJAPUSHPA PROPERTIES PVT LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
HETERO LABS LIMITED,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
MSN PHARMACHEM PVT LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
HES INFRA PVT LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
NSL SEZ(HYDERABAD) PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,195000000,19.5000,24
TRANSWAYS EXIM PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,193000000,19.3000,130
RASHMI CEMENT LTD,ALL INDIA TRINAMOOL CONGRESS,185000000,18.5000,23
MKJ ENTERPRISES LIMITED,ALL INDIA TRINAMOOL CONGRESS,185000000,18.5000,68
K RAHEJA CORP PVT LTD,BHARAT RASHTRA SAMITHI,180000000,18.0000,18
LUPIN LIMITED,BHARATIYA JANATA PARTY,180000000,18.0000,18
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",180000000,18.0000,18
ZYDUS HEALTHCARE LIMITED,BHARATIYA JANATA PARTY,180000000,18.0000,18
TORRENT POWER LTD,BHARATIYA JANATA PARTY,180000000,18.0000,108
FINOLEX CABLES LTD,BHARATIYA JANATA PARTY,180000000,18.0000,18
TORRENT  POWER  LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",170000000,17.0000,17
OSTRO JAISALMER PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),170000000,17.0000,17
OSTRO MADHYA WIND PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),170000000,17.0000,17
VARDHMAN TEXTILES LTD,BHARATIYA JANATA PARTY,170000000,17.0000,35
S D CORPORATION PVT LTD,BHARATIYA JANATA PARTY,170000000,17.0000,17
RAY CONSTRUCTIONS LTD,BHARATIYA JANATA PARTY,165000000,16.5000,21
KITEX GARMENTS LIMITED,BHARAT RASHTRA SAMITHI,160000000,16.0000,16
TVS MOBILITY PRIVATE LIMITED,BHARATIYA JANATA PARTY,160000000,16.0000,16
ISHAN TECHNICAL PLANT SERVICES PVT LTD,BHARATIYA JANATA PARTY,160000000,16.0000,16
WESTWELL GASES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,154000000,15.4000,19
TRANSWAYS EXIM PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",152000000,15.2000,80
HH IRON AND STEEL PRIVATE LIMITED,BHARATIYA JANATA PARTY,150000000,15.0000,15
WPIL LIMITED,BHARATIYA JANATA PARTY,150000000,15.0000,15
DLF GARDEN CITY INDORE PVT LTD,BHARATIYA JANATA PARTY,150000000,15.0000,15
DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,BHARATIYA JANATA PARTY,150000000,15.0000,15
TERACON BUILDTECH LLP,BHARATIYA JANATA PARTY,150000000,15.0000,15
ALKEM LABORATORIES LIMITED,BHARATIYA JANATA PARTY,150000000,15.0000,15
AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),BHARATIYA JANATA PARTY,150000000,15.0000,15
MY HOME INFRASTRUCTURES  PRIVATE LI,BHARAT RASHTRA SAMITHI,150000000,15.0000,15
AQUA SPACE DEVELOPERS PRIVATE LIMIT,BHARAT RASHTRA SAMITHI,150000000,15.0000,15
APARNA FARMS AND ESTATES LLP,BHARAT RASHTRA SAMITHI,150000000,15.0000,15
CHENNAI GREEN WOODS PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",150000000,15.0000,15
EUGIA PHARMA SPECIALITIES LIMITED,BHARATIYA JANATA PARTY,150000000,15.0000,15
APARNA FARMS AND ESTATES LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",150000000,15.0000,15
INFOTELBUSINESSSOLUTIONSLTDBR,BHARATIYA JANATA PARTY,150000000,15.0000,15
HALDIA ENERGY LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",150000000,15.0000,15
AUROBINDO PHARMA LIMITED,BHARAT RASHTRA SAMITHI,150000000,15.0000,15
MKJ ENTERPRISES LTD,BHARATIYA JANATA PARTY,144200000,14.4200,29
BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO,BHARATIYA JANATA PARTY,144000000,14.4000,27
JK LAKSHMI CEMENT LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",140000000,14.0000,23
DR.REDDY'S LABORATORIES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",140000000,14.0000,14
MOHAN STEEL CORPORATION,BHARATIYA JANATA PARTY,140000000,14.0000,14
NATCO PHARMA LTD,TELUGU DESAM PARTY,140000000,14.0000,14
KAYPEE ENTERPRISES,BHARATIYA JANATA PARTY,140000000,14.0000,14
MISRILALL MINES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,140000000,14.0000,14
SHRI JAGANNATH STEELS & POWER LTD,BIJU JANATA DAL,140000000,14.0000,41
WELSPUN CORP LIMITED,BHARATIYA JANATA PARTY,130000000,13.0000,13
NATCO PHARMA LTD,BHARATIYA JANATA PARTY,130000000,13.0000,13
NIRMA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",130000000,13.0000,13
SANDHYA  CONSTRUCTIONS & ESTATES PRIVATE  LIMITED,BHARAT RASHTRA SAMITHI,130000000,13.0000,13
HAZELO LAB PRIVATE LTD,BHARAT RASHTRA SAMITHI,125000000,12.5000,17
HINDYS LAB PRIVATE LTD,BHARAT RASHTRA SAMITHI,125000000,12.5000,17
MKJ ENTERPRISES LIMITED,BHARATIYA JANATA PARTY,125000000,12.5000,26
NATCO PHARMA LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",122500000,12.2500,19
SATEC ENVIR ENGINEERING (I) PVT LTD,BHARATIYA JANATA PARTY,120000000,12.0000,21
ULTRA TECH CEMENT LIMITED,BHARATIYA JANATA PARTY,120000000,12.0000,12
TALENTO TECHNICAL PLANT SERVICES PVT LTD,BHARATIYA JANATA PARTY,120000000,12.0000,12
KAMNA CREDITS AND PROMOTORS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",115000000,11.5000,16
SUN PHARMA LABORATORIES LTD,BHARATIYA JANATA PARTY,115000000,11.5000,16
BENGAL COKE COMPANY LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",113210000,11.3210,17
HIMALAYAN ENDEAVOUR PVT LTD,ALL INDIA TRINAMOOL CONGRESS,112000000,11.2000,58
INTERGLOBE AIR TRANSPORT LIMITED,BHARATIYA JANATA PARTY,110000000,11.0000,11
REAL TECHNICAL SOLUTIONS PVT LTD,BHARATIYA JANATA PARTY,110000000,11.0000,11
KEC INTERNATIONAL LIMITED,BHARATIYA JANATA PARTY,110000000,11.0000,11
JAI BHARAT TECHNICAL SERVICES PVT LTD,BHARATIYA JANATA PARTY,105000000,10.5000,15
JWIL INFRA LTD. (FORM. JITF WATER,BHARATIYA JANATA PARTY,104000000,10.4000,14
BIOXGREEN TECHNOLOGY PRIVATE LIMITE,BHARATIYA JANATA PARTY,100000000,10.0000,10
ULTRATECHCEMENTSLTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
QWIKSUPPLYCHAINPRIVATELIMITED,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,100000000,10.0000,10
INORBIT MALLS  INDIA  PRIVATE LIMIT,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000000,10.0000,10
AVEES TRADING FINANCE PVT LTD,AAM AADMI PARTY,100000000,10.0000,10
MKJ ENTERPRISES LIMITED,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
MKJ ENTERPRISES LIMITED,BIJU JANATA DAL,100000000,10.0000,10
PPR M SAND LLP,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
NATCO PHARMA LIMITED,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
SELMAR LAB PRIVATE LTD,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
NAVAYUGA ENGINEERING CO LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
BEST AGROLIFE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
IPCA LABORATORIES LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
WELSPUN ENTERPRISES LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
ENVIRO CONTROL PRIVATE LIMITED FORM,BHARATIYA JANATA PARTY,100000000,10.0000,10
WELSPUN INDIA LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
USV PRIVATE LTD ( FORMERLY USV LTD),BHARATIYA JANATA PARTY,100000000,10.0000,10
INORBIT MALLS INDIA PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000000,10.0000,10
RITHWIK PROJECTS  PRIVATE LIMITED,JANATA DAL ( SECULAR ),100000000,10.0000,10
SUPER CYBERTECH PARK PRIVATE LIMITE,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
